TreeType;Dataset;Size;Time(s);Rotations
BST;A;10000;0,0934;0
BST;B;10000;0,0926;0
BST;C;10000;0,0009;0
BST;D;10000;0,0006;0
BST;A;25000;0,5552;0
BST;B;25000;0,5417;0
BST;C;25000;0,0021;0
BST;D;25000;0,0004;0
BST;A;50000;2,2499;0
BST;B;50000;2,2187;0
BST;C;50000;0,0053;0
BST;D;50000;0,0008;0
BST;A;75000;4,9332;0
BST;B;75000;6,1777;0
BST;C;75000;0,0142;0
BST;D;75000;0,0014;0
BST;A;100000;11,1507;0
BST;B;100000;9,7352;0
BST;C;100000;0,0147;0
BST;D;100000;0,0020;0
AVL;A;100000;0,0148;99983
AVL;B;100000;0,0117;99983
AVL;C;100000;0,0395;69511
AVL;D;100000;0,0145;6736
AVL;A;250000;0,0176;249982
AVL;B;250000;0,0181;249982
AVL;C;250000;0,0837;174595
AVL;D;250000;0,0184;16695
AVL;A;500000;0,0470;499981
AVL;B;500000;0,0399;499981
AVL;C;500000;0,2214;349290
AVL;D;500000;0,0248;33281
AVL;A;750000;0,0650;749980
AVL;B;750000;0,0684;749980
AVL;C;750000;0,4712;523365
AVL;D;750000;0,0425;49792
AVL;A;1000000;0,0848;999980
AVL;B;1000000;0,0886;999980
AVL;C;1000000;0,6892;699579
AVL;D;1000000;0,0604;66785
AVL;A;2000000;0,2025;1999979
AVL;B;2000000;0,1870;1999979
AVL;C;2000000;1,2110;1397034
AVL;D;2000000;0,1370;133497
AVL;A;3000000;0,2846;2999978
AVL;B;3000000;0,2950;2999978
AVL;C;3000000;2,1967;2092730
AVL;D;3000000;0,2718;199478
AVL;A;4000000;0,4200;3999978
AVL;B;4000000;0,4115;3999978
AVL;C;4000000;3,2692;2791175
AVL;D;4000000;0,3652;265487
AVL;A;5000000;0,5160;4999977
AVL;B;5000000;0,6795;4999977
AVL;C;5000000;6,2314;3492266
AVL;D;5000000;0,7587;331130
VP;A;100000;0,0174;99984
VP;B;100000;0,0314;99978
VP;C;100000;0,0214;118450
VP;D;100000;0,0169;11507
VP;A;250000;0,0476;249983
VP;B;250000;0,0671;249976
VP;C;250000;0,1886;296051
VP;D;250000;0,0140;28201
VP;A;500000;0,1276;499982
VP;B;500000;0,1031;499975
VP;C;500000;0,3408;592809
VP;D;500000;0,0330;56348
VP;A;750000;0,1107;749981
VP;B;750000;0,1623;749971
VP;C;750000;0,5502;890192
VP;D;750000;0,0528;84386
VP;A;1000000;0,1347;999981
VP;B;1000000;0,2158;999974
VP;C;1000000;0,5930;1185182
VP;D;1000000;0,0680;112635
VP;A;2000000;0,3373;1999980
VP;B;2000000;0,3938;1999973
VP;C;2000000;1,9305;2375674
VP;D;2000000;0,2109;226111
VP;A;3000000;0,5515;2999979
VP;B;3000000;0,6448;2999969
VP;C;3000000;3,2985;3556805
VP;D;3000000;0,3666;339440
VP;A;4000000;0,7742;3999979
VP;B;4000000;0,8797;3999972
VP;C;4000000;3,6009;4747120
VP;D;4000000;0,4192;450552
VP;A;5000000;0,8796;4999978
VP;B;5000000;1,3027;4999970
VP;C;5000000;4,6186;5930831
VP;D;5000000;0,5374;564926
TREAP;A;100000;0,0095;99984
TREAP;B;100000;0,0609;99987
TREAP;C;100000;0,0201;200211
TREAP;D;100000;0,0053;18771
TREAP;A;250000;0,0204;249987
TREAP;B;250000;0,0179;249984
TREAP;C;250000;0,0711;500966
TREAP;D;250000;0,0084;48287
TREAP;A;500000;0,0218;499988
TREAP;B;500000;0,0212;499984
TREAP;C;500000;0,2535;1000956
TREAP;D;500000;0,0156;95116
TREAP;A;750000;0,0312;749981
TREAP;B;750000;0,0439;749986
TREAP;C;750000;0,4611;1503515
TREAP;D;750000;0,0920;141310
TREAP;A;1000000;0,0641;999980
TREAP;B;1000000;0,0475;999986
TREAP;C;1000000;0,9717;1998555
TREAP;D;1000000;0,0442;190662
TREAP;A;2000000;0,1061;1999978
TREAP;B;2000000;0,1141;1999992
TREAP;C;2000000;1,7414;4003429
TREAP;D;2000000;0,1218;379362
TREAP;A;3000000;0,2093;2999989
TREAP;B;3000000;0,1800;2999988
TREAP;C;3000000;3,2350;5999372
TREAP;D;3000000;0,1795;569619
TREAP;A;4000000;0,2526;3999983
TREAP;B;4000000;0,2170;3999981
TREAP;C;4000000;5,1983;8002402
TREAP;D;4000000;0,2407;763807
TREAP;A;5000000;0,2786;4999990
TREAP;B;5000000;0,2887;4999982
TREAP;C;5000000;7,0093;10006227
TREAP;D;5000000;0,3881;955509
